"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV9af69a4d","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__","s__"
"ASV44ec4280","k__Bacteria","p__Bacillota","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium","s__"
"ASV9669f0c3","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__amylovorus"
"ASVa8511176","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASV5256c2e3","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia","s__obeum"
"ASV358d0600","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__johnsonii"
"ASVd6a6d856","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__amylovorus"
"ASVc2f19dad","k__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Terrisporobacter","s__"
"ASV38eacd5a","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Collinsella","s__aerofaciens"
"ASV780f6ac2","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Catenibacterium","s__"
"ASVb9270de6","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Holdemanella","s__"
"ASV7fffb839","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger","s__"
"ASV5fccb21d","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Segatella","s__"
"ASVc60f0ec3","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__HT002","s__"
"ASVb6ac9040","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__Sharpea","s__"
"ASVa06ff433","k__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Mediterraneibacter","s__"
"ASVbec4eec1","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","s__"
"ASV48552a5e","k__Bacteria","p__Bacillota","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium","s__"
"ASV62dafe48","k__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Ligilactobacillus","s__"
"ASVbc11546c","k__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenisphaera","s__"
"ASVd1d9f98c","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__[Eubacterium] coprostanoligenes group","g__","s__"
"ASV176170da","k__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Tractidigestivibacter","s__"
"ASV4d78e9c0","k__Bacteria","p__Bacillota","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Ruminococcus","s__bromii"
