"","reads.in","reads.out"
"NovaAWGB16SAA28117-14-5.assembled.fastq.gz",79445,79340
"NovaAWGB16SAA28118-14-6.assembled.fastq.gz",81273,81144
"NovaAWGB16SAA28119-14-7.assembled.fastq.gz",57796,57725
"NovaAWGB16SAA28120-14-8.assembled.fastq.gz",76561,76447
"NovaAWGB16SAA28121-14-9.assembled.fastq.gz",78522,78391
"NovaAWGB16SAA28122-14-10.assembled.fastq.gz",59655,59535
"NovaAWGB16SAA28123-14-11.assembled.fastq.gz",72348,72210
"NovaAWGB16SAA28124-14-12.assembled.fastq.gz",78339,78211
"NovaAWGB16SAA28125-8-5.assembled.fastq.gz",86102,85975
"NovaAWGB16SAA28126-8-6.assembled.fastq.gz",86868,86734
"NovaAWGB16SAA28127-8-7.assembled.fastq.gz",84482,84354
"NovaAWGB16SAA28128-8-8.assembled.fastq.gz",84138,84022
"NovaAWGB16SAA28129-8-9.assembled.fastq.gz",81145,81022
"NovaAWGB16SAA28130-8-10.assembled.fastq.gz",80002,79886
"NovaAWGB16SAA28131-8-11.assembled.fastq.gz",82658,82516
"NovaAWGB16SAA28132-8-12.assembled.fastq.gz",85505,85373
"NovaAWGB16SAA28133-9-5.assembled.fastq.gz",78654,78546
"NovaAWGB16SAA28134-9-6.assembled.fastq.gz",86542,86420
"NovaAWGB16SAA28135-9-7.assembled.fastq.gz",68823,68738
"NovaAWGB16SAA28136-9-8.assembled.fastq.gz",88971,88872
"NovaAWGB16SAA28137-9-9.assembled.fastq.gz",72227,72141
"NovaAWGB16SAA28138-9-10.assembled.fastq.gz",68467,68375
"NovaAWGB16SAA28139-9-11.assembled.fastq.gz",68865,68765
"NovaAWGB16SAA28140-9-12.assembled.fastq.gz",79409,79314
"NovaAWGB16SAA28141-10-5.assembled.fastq.gz",87413,87318
"NovaAWGB16SAA28142-10-6.assembled.fastq.gz",82262,82157
"NovaAWGB16SAA28143-10-7.assembled.fastq.gz",84451,84362
"NovaAWGB16SAA28144-10-8.assembled.fastq.gz",87299,87209
"NovaAWGB16SAA28145-10-9.assembled.fastq.gz",85729,85631
"NovaAWGB16SAA28146-10-10.assembled.fastq.gz",88494,88367
"NovaAWGB16SAA28147-10-11.assembled.fastq.gz",82243,82124
"NovaAWGB16SAA28148-10-12.assembled.fastq.gz",88333,88242
"NovaAWGB16SAA28149-11-5.assembled.fastq.gz",84978,84894
"NovaAWGB16SAA28150-11-6.assembled.fastq.gz",82763,82648
"NovaAWGB16SAA28151-11-7.assembled.fastq.gz",89667,89560
"NovaAWGB16SAA28152-11-8.assembled.fastq.gz",85626,85551
"NovaAWGB16SAA28153-11-9.assembled.fastq.gz",84805,84717
"NovaAWGB16SAA28154-11-10.assembled.fastq.gz",80152,80040
"NovaAWGB16SAA28155-11-11.assembled.fastq.gz",84467,84338
"NovaAWGB16SAA28156-11-12.assembled.fastq.gz",81958,81873
"NovaAWGB16SAA28157-12-5.assembled.fastq.gz",82671,82569
"NovaAWGB16SAA28158-12-6.assembled.fastq.gz",82345,82212
"NovaAWGB16SAA28159-12-7.assembled.fastq.gz",83542,83441
"NovaAWGB16SAA28160-12-8.assembled.fastq.gz",82137,82037
"NovaAWGB16SAA28161-12-9.assembled.fastq.gz",83896,83787
"NovaAWGB16SAA28162-12-10.assembled.fastq.gz",84903,84786
"NovaAWGB16SAA28163-12-11.assembled.fastq.gz",89543,89397
"NovaAWGB16SAA28164-12-12.assembled.fastq.gz",80712,80607
"NovaAWGB16SAA28165-13-5.assembled.fastq.gz",83535,83409
"NovaAWGB16SAA28166-13-6.assembled.fastq.gz",88879,88713
"NovaAWGB16SAA28167-13-7.assembled.fastq.gz",86843,86701
"NovaAWGB16SAA28168-13-8.assembled.fastq.gz",84264,84127
"NovaAWGB16SAA28169-13-9.assembled.fastq.gz",84744,84623
"NovaAWGB16SAA28170-13-10.assembled.fastq.gz",76988,76858
"NovaAWGB16SAA28171-13-11.assembled.fastq.gz",83968,83804
"NovaAWGB16SAA28172-13-12.assembled.fastq.gz",80723,80603
"NovaAWGB16SAA28173-14-5.assembled.fastq.gz",62388,62291
"NovaAWGB16SAA28174-14-6.assembled.fastq.gz",74295,74157
"NovaAWGB16SAA28175-14-7.assembled.fastq.gz",66443,66344
"NovaAWGB16SAA28176-14-8.assembled.fastq.gz",62823,62741
"NovaAWGB16SAA28177-14-9.assembled.fastq.gz",69949,69847
"NovaAWGB16SAA28178-14-10.assembled.fastq.gz",57004,56903
"NovaAWGB16SAA28179-14-11.assembled.fastq.gz",71908,71783
"NovaAWGB16SAA28180-14-12.assembled.fastq.gz",74212,74100
"NovaAWGB16SAA28181-8-5.assembled.fastq.gz",82031,81928
"NovaAWGB16SAA28182-8-6.assembled.fastq.gz",87887,87732
"NovaAWGB16SAA28183-8-7.assembled.fastq.gz",88344,88195
"NovaAWGB16SAA28184-8-8.assembled.fastq.gz",87940,87797
"NovaAWGB16SAA28185-8-9.assembled.fastq.gz",87978,87872
"NovaAWGB16SAA28186-8-10.assembled.fastq.gz",83871,83726
"NovaAWGB16SAA28187-8-11.assembled.fastq.gz",83030,82888
"NovaAWGB16SAA28188-8-12.assembled.fastq.gz",87671,87534
