kegg_class,AA,GA,GG,class_variation,direction_index
Digestive system,0.4464587334980943,0.4421887934885495,0.4377510798289642,0.9959884580593142,-0.008707653669130067
Cellular community - prokaryotes,1.765014752917912,1.831268698104623,1.7969120126473748,0.9953738264616185,0.03189725972946267
Excretory system,0.03729353196663129,0.040426744940394534,0.0435515985657358,0.9933774001563938,0.006258066599104516
Cancer: overview,0.40473762929378476,0.4014793672807699,0.39784156608842314,0.990242097824595,-0.006896063205361624
Cell motility,0.49104368653456487,0.5189797886159452,0.5528229651928032,0.9891343127838274,0.06177927865823829
Endocrine system,0.4726572242098569,0.46531305038258086,0.4592400481742319,0.9856951837155505,-0.013417176035624978
Protein families: signaling and cellular processes,13.577732305072578,13.432623264114444,13.498473393297132,0.9853543703816701,-0.07925891177544564
Unclassified: metabolism,3.0308769204353543,3.0604828494733174,3.084590337939482,0.9826682510728403,0.053713417504127836
Signaling molecules and interaction,0.009744556012497406,0.008951056788402495,0.01083340587027723,0.9821553589291763,0.001088849857779824
Immune disease,0.05692946399377755,0.05312086535207483,0.05026742085692844,0.981721593791808,-0.006662043136849115
Drug resistance: antimicrobial,1.126339430439081,1.110749589935392,1.0914779737363487,0.9816214714382555,-0.03486145670273233
Transcription,0.18966422555903875,0.1972597535260259,0.19297902128814307,0.9809764005973622,0.003314795729104314
Immune system,0.13696184828539915,0.14311298177295348,0.14804406255811936,0.9791489493088101,0.011082214272720214
"Folding, sorting and degradation",1.5549256459514922,1.5783378061296602,1.5686748332798517,0.9717222246920387,0.013749187328359502
Protein families: metabolism,7.7899569255315235,7.728862797744378,7.687973677747682,0.9692431531087563,-0.10198324778384116
Infectious disease: bacterial,0.5958694623332482,0.5948537216064638,0.5933202451221387,0.9679065258280483,-0.0025492172111095668
Endocrine and metabolic disease,0.2456566217191934,0.24823036276129373,0.25264481675686323,0.9604611025865757,0.006988195037669842
Lipid metabolism,1.7889237809409484,1.713896996432955,1.7412084274015782,0.9597588894797396,-0.047715353539370176
Drug resistance: antineoplastic,0.2578729816997066,0.26422838967075785,0.2619147056231237,0.9576624116463909,0.004041723923417062
Poorly characterized,2.2734903296587423,2.2737533549065554,2.273022411490856,0.9572802566683943,-4.6791816788616103e-4
Viral protein families,0.007183811576388398,0.006284690794499667,0.005829974648794433,0.9572411190340189,-0.001353836927593965
Amino acid metabolism,4.962176993509018,5.078711584227236,5.139447345023659,0.9517997712451439,0.17727035151464143
Nucleotide metabolism,3.036225707827902,3.0062205775917796,2.9912521240839265,0.9507495117218954,-0.04497358374397553
Nervous system,0.10267470219899287,0.10426892356792625,0.10756453393514884,0.9499262745538501,0.004889831736155967
Replication and repair,2.1303892753324076,2.1423492889173743,2.1039247414526367,0.9447115411194721,-0.02646453387977088
Substance dependence,1.2964547547033916e-4,7.945617630431837e-4,4.5938324425243826e-4,0.9432182273366423,3.297377687820991e-4
Cardiovascular disease,0.35252597547089226,0.35242009566280746,0.3528071863678743,0.9369694869644758,2.812108969820204e-4
Aging,0.23603588892151312,0.24419227713038286,0.24206897922142173,0.9337158335005105,0.006033090299908617
Energy metabolism,3.313988540469612,3.4373031972170636,3.4793313588181802,0.9323224088282365,0.16534281834856834
Xenobiotics biodegradation and metabolism,0.7518302224286145,0.7294536951682317,0.7349557198613976,0.9321554078521852,-0.016874502567216898
Translation,3.7296699510377453,3.819246785593354,3.750950080154353,0.9305447315126086,0.021280129116607593
Infectious disease: viral,0.06597326186146196,0.07760625747224566,0.08162799741909002,0.9301197100381702,0.015654735557628058
Unclassified: signaling and cellular processes,1.6510971950234177,1.6606090625093262,1.6928113360229067,0.9289132982903384,0.041714140999489
Development and regeneration,0.11217943096067821,0.09343136045828819,0.08862167492804693,0.9279155678785929,-0.023557756032631286
Membrane transport,3.6124409337484686,3.538580377449657,3.5176988542081546,0.9276705581814573,-0.094742079540314
Signal transduction,1.9716754801045984,2.0089568591804876,1.9796185609187074,0.9263911934429612,0.007943080814108994
Unclassified: genetic information processing,0.9964131477304876,0.9691626477812462,0.9905174107419219,0.926295255764462,-0.005895736988565714
Metabolism of cofactors and vitamins,4.138418757335218,4.163374274179086,4.258123444468903,0.92580794116134,0.11970468713368465
Carbohydrate metabolism,5.936594045489716,5.76197384735328,5.798241244094617,0.9257049539552218,-0.13835280139509898
Protein families: genetic information processing,17.36626179052935,17.51182429156736,17.32856921902185,0.9251612479949781,-0.03769257150749894
Circulatory system,4.477966300892758e-4,0.0011299303117440144,5.227133334979786e-4,0.9199150740509976,7.491670340870282e-5
Metabolism of other amino acids,1.4381022655292162,1.4105044925519539,1.4144227248053958,0.9173504544269102,-0.02367954072382039
Information processing in viruses,0.028823328725245727,0.028682416889137488,0.027608520750897043,0.9148025431396385,-0.0012148079743486834
Glycan biosynthesis and metabolism,3.666289460373665,3.5466999813401046,3.5325089302142927,0.9143650000993513,-0.1337805301593722
Environmental adaptation,0.23899246068855634,0.2519465396105038,0.25355068336109243,0.9143278096432436,0.014558222672536092
Cell growth and death,0.9811082029712898,1.0155008101334928,1.012809085975661,0.9125132202007887,0.03170088300437135
